School Name,School Type,County,City,Reported,Herd Immunity,Enrollment,PBE #,PBE %,Percentage Point Change 2007-14,DTP %,Polio %,MMR %,HEPB %,VAR %
JAMES A. GRAHAM ELEMENTARY,PUBLIC,ALAMEDA,NEWARK,Y,No,50,1,2,Up from None,84,80,82,92,94
JAMES L. BUNKER ELEMENTARY,PUBLIC,ALAMEDA,NEWARK,Y,Yes,74,1,1,Up from None,99,99,97,99,99
JOHN F. KENNEDY ELEMENTARY,PUBLIC,ALAMEDA,NEWARK,Y,Yes,49,0,0,No Opt-Outs,90,90,94,94,92
LINCOLN ELEMENTARY,PUBLIC,ALAMEDA,NEWARK,Y,Yes,99,1,1,-2,91,95,94,96,96
LOUIS MILANI ELEMENTARY,PUBLIC,ALAMEDA,NEWARK,Y,Yes,48,0,0,No Opt-Outs,96,96,96,98,96
ACORN WOODLAND ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,56,0,0,No Opt-Outs,93,96,95,98,96
ALLENDALE ELEMENTARY,PUBLIC,ALAMEDA,OAKLAND,Y,No,91,0,0,No Opt-Outs,53,55,53,60,60
AMERICAN INDIAN PUBLIC CHARTER SCHOOL II,PUBLIC,ALAMEDA,OAKLAND,Y,No,40,0,0,No Data,95,98,85,100,98
ASCEND,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,48,0,0,No Opt-Outs,90,92,94,94,96
ASPIRE BERKLEY MAYNARD ACADEMY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,65,1,2,Up from None,98,98,98,98,98
ASPIRE COLLEGE ACADEMY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,45,1,2,No Data,98,98,98,98,98
ASPIRE ERES ACADEMY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,22,0,0,No Data,100,100,100,100,100
ASPIRE MILLSMONT ACADEMY,PUBLIC,ALAMEDA,OAKLAND,N,Not Known, ,,,No Data,,,,,
